ticker,cap_tier,feature,state,mu,sigma,occupancy_pct,sort_by
IBM,large,100-day return,0,-0.0704298460592657,0.062345773626514125,43.191116306253654,mean
IBM,large,100-day return,1,0.09791036276624933,0.0637487389206039,56.808883693746346,mean
GE,large,daily return,0,0.0003862706951979171,0.011646019897114186,70.22209234365869,sigma
GE,large,daily return,1,0.000327299956441996,0.03200125511607522,29.777907656341323,sigma
GE,large,rolling volatility,0,0.011215810847704158,0.003962106299225102,61.9812974868498,sigma
GE,large,rolling volatility,1,0.025650798145440634,0.010047303377446096,38.0187025131502,sigma
GE,large,absolute return,0,0.0077532349561971955,0.0060927573078767075,80.50847457627118,sigma
GE,large,absolute return,1,0.02994619040671891,0.020396007815466192,19.491525423728813,sigma
GE,large,20-day return,0,-0.0010291075983986995,0.039234227359426645,69.34541203974284,mean
GE,large,20-day return,1,0.02441996859888198,0.15390534030643163,30.654587960257157,mean
GE,large,60-day return,0,-0.005188720225998558,0.05677494968090162,59.7895967270602,mean
GE,large,60-day return,1,0.05889141502768593,0.2540308626554609,40.2104032729398,mean
GE,large,100-day return,0,0.030703968769272415,0.06700472557224585,53.09760374050263,mean
GE,large,100-day return,1,0.044383228922531236,0.32980749580053437,46.90239625949737,mean
GOOGL,large,daily return,0,0.0010754837512588304,0.011791994578984298,85.73933372296902,sigma
GOOGL,large,daily return,1,-6.664035600296639e-05,0.03203740698638054,14.260666277030975,sigma
GOOGL,large,rolling volatility,0,0.01152498611412524,0.00352050571237785,66.42314436002337,sigma
GOOGL,large,rolling volatility,1,0.022882081953952256,0.006980058357483143,33.57685563997662,sigma
GOOGL,large,absolute return,0,0.008018044520485677,0.006336418757995522,87.22969023962594,sigma
GOOGL,large,absolute return,1,0.02800815252215731,0.019233413123751066,12.77030976037405,sigma
GOOGL,large,20-day return,0,-0.033146239053276495,0.04604375873937819,51.78258328462887,mean
GOOGL,large,20-day return,1,0.06928546398906729,0.04908059312952599,48.21741671537112,mean
GOOGL,large,60-day return,0,-0.045876856055188334,0.06491200622343665,48.71420222092343,mean
GOOGL,large,60-day return,1,0.13565318929749806,0.06703319554574601,51.28579777907656,mean
GOOGL,large,100-day return,0,-0.04488447603611412,0.07994054413192521,46.28872004675628,mean
GOOGL,large,100-day return,1,0.1838161157247197,0.0914660921781707,53.71127995324372,mean
AMZN,large,daily return,0,0.0014151952379026875,0.0136376414843723,76.35885447106955,sigma
AMZN,large,daily return,1,0.0003825302521071544,0.034318388181474486,23.641145528930448,sigma
AMZN,large,rolling volatility,0,0.013451802847575871,0.003944860272298971,61.630625365283464,sigma
AMZN,large,rolling volatility,1,0.027147431654139333,0.006645239676931205,38.36937463471654,sigma
AMZN,large,absolute return,0,0.009518744449200043,0.00714134105908136,84.89187609585038,sigma
AMZN,large,absolute return,1,0.03275355875338181,0.021751741567504194,15.10812390414962,sigma
AMZN,large,20-day return,0,-0.06003331063479887,0.05591685391251433,37.52191700759789,mean
AMZN,large,20-day return,1,0.07143879959997912,0.059059692066701336,62.47808299240211,mean
AMZN,large,60-day return,0,-0.05667918254534917,0.09468764842672697,45.55815312682642,mean
AMZN,large,60-day return,1,0.1709886584562492,0.09086816993394052,54.44184687317358,mean
AMZN,large,100-day return,0,-0.04136193447134163,0.10917599569952391,49.88310929281122,mean
AMZN,large,100-day return,1,0.2642724697756583,0.12943186185284633,50.11689070718878,mean
BAC,large,daily return,0,0.0006590205704895952,0.014911334246073465,87.4926943308007,sigma
BAC,large,daily return,1,-0.00023055081214629563,0.04229345369919318,12.507305669199297,sigma
BAC,large,rolling volatility,0,0.015062166304429176,0.004378621971705096,83.51841028638222,sigma
BAC,large,rolling volatility,1,0.03509119017514253,0.015447071331672564,16.481589713617765,sigma
BAC,large,absolute return,0,0.00944856704345998,0.0071779712847112615,82.0280537697253,sigma
BAC,large,absolute return,1,0.03311009430770975,0.02285060367568288,17.971946230274693,sigma
BAC,large,20-day return,0,-0.05413324298673291,0.06685027726152477,52.1917007597896,mean
BAC,large,20-day return,1,0.08026503088728756,0.06194666499332276,47.8082992402104,mean
BAC,large,60-day return,0,-0.11627142337927365,0.10426075011913642,42.4021040327294,mean
BAC,large,60-day return,1,0.13266625363783677,0.11649646083443219,57.59789596727061,mean
BAC,large,100-day return,0,-0.11883328992135829,0.13344919990455392,50.26300409117476,mean
BAC,large,100-day return,1,0.20730838459608592,0.1482225522401518,49.73699590882525,mean
