ticker,cap_tier,group,step_n_features,feature_combo,state,feature_index,feature_name,mu,sigma,occupancy_pct
BBY,mid,bb,1,20-day return,0,0,20-day return,-0.058983566672762014,0.07189361070211327,57.48757984386089
BBY,mid,bb,1,20-day return,1,0,20-day return,0.09836871947580021,0.06645719004181165,42.51242015613911
BBY,mid,bb,2,20-day return + 60-day return,0,0,20-day return,-0.024251997147131537,0.10114198229894976,67.84953867991483
BBY,mid,bb,2,20-day return + 60-day return,0,1,60-day return,-0.07455897702925482,0.09881109101384751,67.84953867991483
BBY,mid,bb,2,20-day return + 60-day return,1,0,20-day return,0.07549982228455578,0.07472973499644883,32.150461320085164
BBY,mid,bb,2,20-day return + 60-day return,1,1,60-day return,0.21852081984144883,0.11430052888768483,32.150461320085164
BBY,mid,bb,3,20-day return + 60-day return + 100-day return,0,0,20-day return,0.003065156207931818,0.11180924503853337,69.76579134137685
BBY,mid,bb,3,20-day return + 60-day return + 100-day return,0,1,60-day return,-0.05634349678434889,0.11786649783226914,69.76579134137685
BBY,mid,bb,3,20-day return + 60-day return + 100-day return,0,2,100-day return,-0.0532866788163907,0.12696811468535651,69.76579134137685
BBY,mid,bb,3,20-day return + 60-day return + 100-day return,1,0,20-day return,0.01913086328966789,0.08502498684583039,30.234208658623135
BBY,mid,bb,3,20-day return + 60-day return + 100-day return,1,1,60-day return,0.18871707134379836,0.15148046633739431,30.234208658623135
BBY,mid,bb,3,20-day return + 60-day return + 100-day return,1,2,100-day return,0.21549167644212885,0.23783189982451203,30.234208658623135
URBN,mid,vol,1,daily return,0,0,daily return,-8.185932699428466e-06,0.019346785997419173,84.19141209143346
URBN,mid,vol,1,daily return,1,0,daily return,0.002374832275984669,0.05065899839110887,15.808587908566546
URBN,mid,vol,2,daily return + rolling volatility,0,0,daily return,-5.937506231759347e-06,0.019873824567280367,66.3319803460799
URBN,mid,vol,2,daily return + rolling volatility,0,1,rolling volatility,0.019066104552056,0.004960611561364654,66.3319803460799
URBN,mid,vol,2,daily return + rolling volatility,1,0,daily return,0.0013642416254813325,0.040032779314829105,33.6680196539201
URBN,mid,vol,2,daily return + rolling volatility,1,1,rolling volatility,0.03728708942389219,0.011584390689254377,33.6680196539201
URBN,mid,vol,3,daily return + rolling volatility + absolute return,0,0,daily return,-0.01945927404555937,0.019449407708826704,49.54069643238624
URBN,mid,vol,3,daily return + rolling volatility + absolute return,0,1,rolling volatility,0.02525837605856412,0.011740729277517568,49.54069643238624
URBN,mid,vol,3,daily return + rolling volatility + absolute return,0,2,absolute return,0.019459274057176113,0.019449407697204067,49.54069643238624
URBN,mid,vol,3,daily return + rolling volatility + absolute return,1,0,daily return,0.020026762087489765,0.02150725385318699,50.45930356761376
URBN,mid,vol,3,daily return + rolling volatility + absolute return,1,1,rolling volatility,0.025400601026840927,0.011684199607267612,50.45930356761376
URBN,mid,vol,3,daily return + rolling volatility + absolute return,1,2,absolute return,0.020026762087489765,0.02150725385318699,50.45930356761376
URBN,mid,bb,1,20-day return,0,0,20-day return,-0.06012251198943138,0.08446391117877594,62.52661462029808
URBN,mid,bb,1,20-day return,1,0,20-day return,0.11830707357605937,0.08557403766910336,37.47338537970192
URBN,mid,bb,2,20-day return + 60-day return,0,0,20-day return,-0.040552958654562585,0.10724844652812511,55.92618878637331
URBN,mid,bb,2,20-day return + 60-day return,0,1,60-day return,-0.12921806474121844,0.11386280926989872,55.92618878637331
URBN,mid,bb,2,20-day return + 60-day return,1,0,20-day return,0.06431697887114514,0.11152631017548849,44.07381121362668
URBN,mid,bb,2,20-day return + 60-day return,1,1,60-day return,0.19841423125479854,0.12626335209940434,44.07381121362668
URBN,mid,bb,3,20-day return + 60-day return + 100-day return,0,0,20-day return,-0.03966742042254586,0.12257021445578922,45.209368346344924
URBN,mid,bb,3,20-day return + 60-day return + 100-day return,0,1,60-day return,-0.1366881331789697,0.13623783627051916,45.209368346344924
URBN,mid,bb,3,20-day return + 60-day return + 100-day return,0,2,100-day return,-0.23137924756408665,0.0982290899048907,45.209368346344924
URBN,mid,bb,3,20-day return + 60-day return + 100-day return,1,0,20-day return,0.04380005233378644,0.10566966025855408,54.790631653655076
URBN,mid,bb,3,20-day return + 60-day return + 100-day return,1,1,60-day return,0.14275221107494593,0.1544151639893726,54.790631653655076
URBN,mid,bb,3,20-day return + 60-day return + 100-day return,1,2,100-day return,0.25336037519388266,0.1858022517206528,54.790631653655076
XRAY,mid,vol,1,daily return,0,0,daily return,-0.0009142622006694863,0.031986278234865724,17.154454176458025
XRAY,mid,vol,1,daily return,1,0,daily return,0.0005055785124291796,0.011448673395499355,82.84554582354198
XRAY,mid,vol,2,daily return + rolling volatility,0,0,daily return,-0.00020165220574979554,0.027609624826421417,25.22965178380688
XRAY,mid,vol,2,daily return + rolling volatility,0,1,rolling volatility,0.025455404104865516,0.008719688591793938,25.22965178380688
XRAY,mid,vol,2,daily return + rolling volatility,1,0,daily return,0.0003766807430260123,0.012167700006920999,74.77034821619311
XRAY,mid,vol,2,daily return + rolling volatility,1,1,rolling volatility,0.011491986607481774,0.0034420090945630026,74.77034821619311
XRAY,mid,vol,3,daily return + rolling volatility + absolute return,0,0,daily return,-0.012118765767173833,0.013345184862291411,47.63939329203162
XRAY,mid,vol,3,daily return + rolling volatility + absolute return,0,1,rolling volatility,0.014976643098884607,0.00796648247233608,47.63939329203162
XRAY,mid,vol,3,daily return + rolling volatility + absolute return,0,2,absolute return,0.012167251150543481,0.013300994029318055,47.63939329203162
XRAY,mid,vol,3,daily return + rolling volatility + absolute return,1,0,daily return,0.011276081044233907,0.01268495723952016,52.36060670796838
XRAY,mid,vol,3,daily return + rolling volatility + absolute return,1,1,rolling volatility,0.0151501117560288,0.008196325711646878,52.36060670796838
