ticker,cap_tier,group,step_n_features,feature_combo,state,feature_index,feature_name,mu,sigma,occupancy_pct
AMZN,large,bb,2,20-day return + 60-day return,1,0,20-day return,0.07601145652904477,0.06230927628309011,49.396735273243436
AMZN,large,bb,2,20-day return + 60-day return,1,1,60-day return,0.1463374627411009,0.11275325905732164,49.396735273243436
AMZN,large,bb,3,20-day return + 60-day return + 100-day return,0,0,20-day return,-0.028532986422568563,0.1007748267517222,44.92547906316536
AMZN,large,bb,3,20-day return + 60-day return + 100-day return,0,1,60-day return,-0.06176776226293889,0.13879223659229892,44.92547906316536
AMZN,large,bb,3,20-day return + 60-day return + 100-day return,0,2,100-day return,-0.10580320305107675,0.1102828540360391,44.92547906316536
AMZN,large,bb,3,20-day return + 60-day return + 100-day return,1,0,20-day return,0.0488870447819154,0.067666043347591,55.07452093683464
AMZN,large,bb,3,20-day return + 60-day return + 100-day return,1,1,60-day return,0.12368210666655188,0.11726748066839207,55.07452093683464
AMZN,large,bb,3,20-day return + 60-day return + 100-day return,1,2,100-day return,0.21300109750333307,0.16123192102231085,55.07452093683464
PG,large,vol,1,daily return,0,0,daily return,-0.000754745599924192,0.02427876530057647,10.254219183935056
PG,large,vol,1,daily return,1,0,daily return,0.000573110659732446,0.007772344489457963,89.74578081606495
PG,large,vol,2,daily return + rolling volatility,0,0,daily return,-0.00028088626271002533,0.022199202066592007,13.351847895748772
PG,large,vol,2,daily return + rolling volatility,0,1,rolling volatility,0.019145457762063334,0.010024845668192936,13.351847895748772
PG,large,vol,2,daily return + rolling volatility,1,0,daily return,0.0004880555031557008,0.008943196280964823,86.64815210425122
PG,large,vol,2,daily return + rolling volatility,1,1,rolling volatility,0.008377406738865202,0.0028623278823105133,86.64815210425122
PG,large,vol,3,daily return + rolling volatility + absolute return,0,0,daily return,-0.007853721054617421,0.008969652122632012,46.50715659047212
PG,large,vol,3,daily return + rolling volatility + absolute return,0,1,rolling volatility,0.00991411820418042,0.0061064360108774186,46.50715659047212
