ticker,cap_tier,feature,state,mu,sigma,occupancy_pct,sort_by
PG,large,absolute return,1,0.020783327936171183,0.015348615359462163,7.597895967270602,sigma
PG,large,20-day return,0,-0.025577098210826158,0.02871879711190894,47.48684979544126,mean
PG,large,20-day return,1,0.03881754588223088,0.02836829274915225,52.513150204558734,mean
PG,large,60-day return,0,-0.028362446234284126,0.04301747951289414,51.16890707188778,mean
PG,large,60-day return,1,0.07976177182378494,0.041861876305241075,48.83109292811221,mean
PG,large,100-day return,0,-0.028318777913335175,0.05463839196370414,47.106954997077736,mean
PG,large,100-day return,1,0.10320104231651851,0.056393456949900535,52.893045002922264,mean
CVX,large,daily return,0,0.0006051865474885893,0.011632481175976346,85.00876680303917,sigma
CVX,large,daily return,1,0.00010811121631948199,0.033567937605815314,14.99123319696084,sigma
CVX,large,rolling volatility,0,0.011034990811743,0.00370769665057626,76.0666277030976,sigma
CVX,large,rolling volatility,1,0.02475210342670721,0.013489631565507705,23.933372296902398,sigma
CVX,large,absolute return,0,0.007796626009843523,0.006074021093164919,86.64523670368206,sigma
CVX,large,absolute return,1,0.027938019332619485,0.021547959572432565,13.354763296317943,sigma
CVX,large,20-day return,0,-0.0015071123678873457,0.12198197073807056,26.91408533021625,mean
CVX,large,20-day return,1,0.014273402214603964,0.03576061659228389,73.08591466978375,mean
CVX,large,60-day return,0,-0.04296431485376874,0.07198830816630267,61.04617182933957,mean
CVX,large,60-day return,1,0.13711277845037037,0.07942134271658806,38.95382817066043,mean
CVX,large,100-day return,0,-0.021930298890994286,0.04747386346496968,50.0,mean
CVX,large,100-day return,1,0.11664461723564083,0.1746424703594951,50.0,mean
HD,large,daily return,0,0.0011997119352267327,0.010330192301838693,86.38223261250731,sigma
HD,large,daily return,1,-0.0006943683320713034,0.02835058395805798,13.617767387492693,sigma
HD,large,rolling volatility,0,0.01045762409681697,0.003521176340582411,79.39801285797779,sigma
HD,large,rolling volatility,1,0.02123256340784257,0.010785089244603733,20.60198714202221,sigma
HD,large,absolute return,0,0.006756147477382635,0.005307196298352823,85.76855639976621,sigma
HD,large,absolute return,1,0.023069243560517358,0.016644173337884028,14.231443600233781,sigma
HD,large,20-day return,0,-0.030228428174571408,0.045924667016234245,47.04850964348334,mean
HD,large,20-day return,1,0.0602625842980539,0.03951283406606712,52.951490356516665,mean
