ticker,cap_tier,group,perm_i_index,perm_j_index,perm_i_features,perm_j_features,agreement_pct
MSFT,large,vol,4,0,absolute return + daily return + rolling volatility,daily return + rolling volatility + absolute return,100.0
MSFT,large,vol,4,1,absolute return + daily return + rolling volatility,daily return + absolute return + rolling volatility,100.0
MSFT,large,vol,4,2,absolute return + daily return + rolling volatility,rolling volatility + daily return + absolute return,100.0
MSFT,large,vol,4,3,absolute return + daily return + rolling volatility,rolling volatility + absolute return + daily return,99.76500747703481
MSFT,large,vol,4,4,absolute return + daily return + rolling volatility,absolute return + daily return + rolling volatility,100.0
MSFT,large,vol,4,5,absolute return + daily return + rolling volatility,absolute return + rolling volatility + daily return,100.0
MSFT,large,vol,5,0,absolute return + rolling volatility + daily return,daily return + rolling volatility + absolute return,100.0
MSFT,large,vol,5,1,absolute return + rolling volatility + daily return,daily return + absolute return + rolling volatility,100.0
MSFT,large,vol,5,2,absolute return + rolling volatility + daily return,rolling volatility + daily return + absolute return,100.0
MSFT,large,vol,5,3,absolute return + rolling volatility + daily return,rolling volatility + absolute return + daily return,99.76500747703481
MSFT,large,vol,5,4,absolute return + rolling volatility + daily return,absolute return + daily return + rolling volatility,100.0
MSFT,large,vol,5,5,absolute return + rolling volatility + daily return,absolute return + rolling volatility + daily return,100.0
MSFT,large,bb,0,0,20-day return + 60-day return + 100-day return,20-day return + 60-day return + 100-day return,100.0
MSFT,large,bb,0,1,20-day return + 60-day return + 100-day return,20-day return + 100-day return + 60-day return,100.0
MSFT,large,bb,0,2,20-day return + 60-day return + 100-day return,60-day return + 20-day return + 100-day return,100.0
MSFT,large,bb,0,3,20-day return + 60-day return + 100-day return,60-day return + 100-day return + 20-day return,100.0
MSFT,large,bb,0,4,20-day return + 60-day return + 100-day return,100-day return + 20-day return + 60-day return,100.0
MSFT,large,bb,0,5,20-day return + 60-day return + 100-day return,100-day return + 60-day return + 20-day return,100.0
MSFT,large,bb,1,0,20-day return + 100-day return + 60-day return,20-day return + 60-day return + 100-day return,100.0
MSFT,large,bb,1,1,20-day return + 100-day return + 60-day return,20-day return + 100-day return + 60-day return,100.0
MSFT,large,bb,1,2,20-day return + 100-day return + 60-day return,60-day return + 20-day return + 100-day return,100.0
MSFT,large,bb,1,3,20-day return + 100-day return + 60-day return,60-day return + 100-day return + 20-day return,100.0
MSFT,large,bb,1,4,20-day return + 100-day return + 60-day return,100-day return + 20-day return + 60-day return,100.0
MSFT,large,bb,1,5,20-day return + 100-day return + 60-day return,100-day return + 60-day return + 20-day return,100.0
MSFT,large,bb,2,0,60-day return + 20-day return + 100-day return,20-day return + 60-day return + 100-day return,100.0
